Autor*in;Titel;Referenzkorpus (Vorschlag);Jahr;Sprache;Genre;Wiki-Data ID Work;Wiki-Data ID Author;Referenz;Filename;New_Filename
Adalbert Stifter;Der beschriebene Tännling;;1846;Deutsch;;https://www.wikidata.org/wiki/Q65565750;Q168542;;Adalbert_Stifter_-_Der_beschriebene_Tännling_(1846).txt;1846_Stifter_Der-beschriebene-Taennling.xml
Adolf Pichler;Ein Brautpaar;;1867;Deutsch;;;Q88910;;Adolf_Pichler_-_Ein_Brautpaar_(1867).txt;1867_Pichler_Ein-Brautpaar.xml
Agnes Günther;Die Heilige und ihr Narr - Band 2;;1913;Deutsch;;https://www.wikidata.org/wiki/Q1170730;Q106107;;Agnes_Günther_-_Die_Heilige_und_ihr_Narr_-_Band_2_(1913).txt;1913_Guenther_Die-Heilige-und.xml
Alois Theodor Sonnleitner;Die Höhlenkinder  Im Heimlichen Grund;;1918;Deutsch;KJL;https://www.wikidata.org/wiki/Q1213545;Q94580;;Alois_Theodor_Sonnleitner_-_Die_Höhlenkinder_–_Im_Heimlichen_Grund_(1918).txt;1918_Sonnleitner_Die-Hoehlenkinder-Im.xml
Alois Theodor Sonnleitner;Die Höhlenkinder  Im Steinhaus;;1920;Deutsch;KJL;https://www.wikidata.org/wiki/Q1213545;Q94580;;Alois_Theodor_Sonnleitner_-_Die_Höhlenkinder_–_Im_Steinhaus_(1920).txt;1920_Sonnleitner_Die-Hoehlenkinder-Im.xml
August Kopisch;Ein Carnevalsfest auf Ischia;;1856;Deutsch;;;Q88387;;August_Kopisch_-_Ein_Carnevalsfest_auf_Ischia_(1856).txt;1856_Kopisch_Ein-Carnevalsfest-auf.xml
Berthold Auerbach;Auf der Höhe Dritter Band;;1865;Deutsch;;;Q76715;;Berthold_Auerbach_-_Auf_der_Höhe_Dritter_Band_(1865).txt;1865_Auerbach_Auf-der-Hoehe.xml
Charles Sealsfield;In der Prärie verirrt;;1841;Deutsch;;;Q79153;;Charles_Sealsfield_-_In_der_Prärie_verirrt_(1841).txt;1841_Sealsfield_In-der-Praerie.xml
Christoph von Schmid;Wie Heinrich von Eichenfels zur Erkenntnis Gottes kam;;1817;Deutsch;;;Q68202;;Christoph_von_Schmid_-_Wie_Heinrich_von_Eichenfels_zur_Erkenntnis_Gottes_kam_(1817).txt;1817_von-Schmid_Wie-Heinrich-von.xml
Clemens Brentano;Aus der Chronika eines fahrenden Schülers (Zweite Fassung);;1818;Deutsch;;https://www.wikidata.org/wiki/Q777681;Q57235;;Clemens_Brentano_-_Aus_der_Chronika_eines_fahrenden_Schülers_(Zweite_Fassung)_(1818).txt;1818_Brentano_Aus-der-Chronika.xml
Clemens Brentano;Die mehreren Wehmüller und ungarischen Nationalgesichter;;1817;Deutsch;;https://www.wikidata.org/wiki/Q1219028;Q57235;;Clemens_Brentano_-_Die_mehreren_Wehmüller_und_ungarischen_Nationalgesichter_(1817).txt;1817_Brentano_Die-mehreren-Wehmueller.xml
Curt Grottewitz;Sonntage eines Großstädters in der Natur;;1906;Deutsch;;;Q1145102;;Curt_Grottewitz_-_Sonntage_eines_Großstädters_in_der_Natur_(1906).txt;1906_Grottewitz_Sonntage-eines-Grossstaedters.xml
