Autor*in;Titel;Referenzkorpus (Vorschlag);Jahr;Sprache;Genre;Wiki-Data ID Work;Wiki-Data ID Author;Referenz;Filename;Problematische:r Autor:in?;Wer recherchiert?;Quelle;;;;;;;
Adalbert Stifter;Der beschriebene Tännling;;1846;Deutsch;;https://www.wikidata.org/wiki/Q65565750;Q168542;;Adalbert_Stifter_-_Der_beschriebene_Tännling_(1846).txt;;;;;;;;;;
Adolf Pichler;Ein Brautpaar;;1867;Deutsch;;;Q88910;;Adolf_Pichler_-_Ein_Brautpaar_(1867).txt;;;;;;;;;;
Agnes Günther;Die Heilige und ihr Narr - Band 2;;1913;Deutsch;;https://www.wikidata.org/wiki/Q1170730;Q106107;;Agnes_Günther_-_Die_Heilige_und_ihr_Narr_-_Band_2_(1913).txt;;;;;;;;;;
Alois Theodor Sonnleitner;Die Höhlenkinder – Im Heimlichen Grund;;1918;Deutsch;KJL;https://www.wikidata.org/wiki/Q1213545;Q94580;;Alois_Theodor_Sonnleitner_-_Die_Höhlenkinder_–_Im_Heimlichen_Grund_(1918).txt;;;;;;;;;;
Alois Theodor Sonnleitner;Die Höhlenkinder – Im Steinhaus;;1920;Deutsch;KJL;https://www.wikidata.org/wiki/Q1213545;Q94580;;Alois_Theodor_Sonnleitner_-_Die_Höhlenkinder_–_Im_Steinhaus_(1920).txt;;;;;;;;;;
August Kopisch;Ein Carnevalsfest auf Ischia;;1856;Deutsch;;;Q88387;;August_Kopisch_-_Ein_Carnevalsfest_auf_Ischia_(1856).txt;;;;;;;;;;
Berthold Auerbach;Auf der Höhe Dritter Band;;1865;Deutsch;;;Q76715;;Berthold_Auerbach_-_Auf_der_Höhe_Dritter_Band_(1865).txt;;;;;;;;;;
Charles Sealsfield;In der Prärie verirrt;;1841;Deutsch;;;Q79153;;Charles_Sealsfield_-_In_der_Prärie_verirrt_(1841).txt;;;;;;;;;;
Christoph von Schmid;Wie Heinrich von Eichenfels zur Erkenntnis Gottes kam;;1817;Deutsch;;;Q68202;;Christoph_von_Schmid_-_Wie_Heinrich_von_Eichenfels_zur_Erkenntnis_Gottes_kam_(1817).txt;;;;;;;;;;
Clemens Brentano;Aus der Chronika eines fahrenden Schülers (Zweite Fassung);;1818;Deutsch;;https://www.wikidata.org/wiki/Q777681;Q57235;;Clemens_Brentano_-_Aus_der_Chronika_eines_fahrenden_Schülers_(Zweite_Fassung)_(1818).txt;?;;;;;;;;;
Clemens Brentano;Die mehreren Wehmüller und ungarischen Nationalgesichter;;1817;Deutsch;;https://www.wikidata.org/wiki/Q1219028;Q57235;;Clemens_Brentano_-_Die_mehreren_Wehmüller_und_ungarischen_Nationalgesichter_(1817).txt;?;;;;;;;;;
Curt Grottewitz;Sonntage eines Großstädters in der Natur;;1906;Deutsch;;;Q1145102;;Curt_Grottewitz_-_Sonntage_eines_Großstädters_in_der_Natur_(1906).txt;;Bianca;;;;;;;;
David Friedrich Weinland;Rulaman;;1878;Deutsch;KJL;https://www.wikidata.org/wiki/Q1615214;Q100876;;David_Friedrich_Weinland_-_Rulaman_(1878).txt;;;;;;;;;;
E. T. A. Hoffmann;Die Irrungen - Verloren und Gefunden;;1820;Deutsch;;;Q150471;;ETA_Hoffmann_-_Die_Irrungen_-_Verloren_und_Gefunden_(1820).txt;;;;;;;;;;
Eduard von Keyserling;Seine Liebeserfahrung;;1906;Deutsch;;https://www.wikidata.org/wiki/Q19228050;Q77494;;Eduard_von_Keyserling_-_Seine_Liebeserfahrung_(1906).txt;;;;;;;;;;
Ferdinand von Saar;Innocens;;1866;Deutsch;;https://www.wikidata.org/wiki/Q1664115;Q78977;;Ferdinand_von_Saar_-_Innocens_(1866).txt;;;;;;;;;;
Franz Kafka;Auf der Galerie;;1916;Deutsch;;https://www.wikidata.org/wiki/Q759401;Q905;;Franz_Kafka_-_Auf_der_Galerie_(1916).txt;;;;;;;;;;
Franz Kafka;Der Geier;;1916;Deutsch;;https://www.wikidata.org/wiki/Q540207;Q905;;Franz_Kafka_-_Der_Geier_(1916).txt;;;;;;;;;;
Franz Kafka;Prometheus;;1918;Deutsch;;https://www.wikidata.org/wiki/Q2112789;Q905;;Franz_Kafka_-_Prometheus_(1918).txt;;;;;;;;;;
Franz Kafka;Schakale und Araber;;1916;Deutsch;;https://www.wikidata.org/wiki/Q1351849;Q905;;Franz_Kafka_-_Schakale_und_Araber_(1916).txt;;;;;;;;;;
Friedrich Gerstäcker;Der Fischfang am Mississippi;;1847;Deutsch;;;Q77478;;Friedrich_Gerstäcker_-_Der_Fischfang_am_Mississippi_(1847).txt;;;;;;;;;;
Friedrich Gerstäcker;Die Nacht auf dem Walfisch;;1858;Deutsch;;;Q77478;;Friedrich_Gerstäcker_-_Die_Nacht_auf_dem_Walfisch_(1858).txt;;;;;;;;;;
Friedrich Gerstäcker;Die Regulatoren in Arkansas;;1845;Deutsch;;https://www.wikidata.org/wiki/Q110879272;Q77478;;Friedrich_Gerstäcker_-_Die_Regulatoren_in_Arkansas_(1845).txt;;;;;;;;;;
