Autor*in;Titel;Referenzkorpus (Vorschlag);Jahr;Sprache;Genre;Wiki-Data ID Work;Wiki-Data ID Author;Referenz;Filename
Louise Anklam;Der wilde Arno;;1898;Deutsch;;;;;Anklam_Louise_Kindergeschichten_Der_wilde_Arno.txt
Marie Bernhard;Heimatluft;;1905;Deutsch;;;;;Bernhard_Marie_Heimatluft.txt
Ida Bindschedler;Die Turnachkinder im Sommer;;1906;Deutsch;;;;;Bindschedler_Ida_Die_Turnachkinder_im_Sommer.txt
Ida Bindschedler;Die Turnachkinder im Winter;;1909;Deutsch;;;;;Bindschedler_Ida_Die_Turnachkinder_im_Winter.txt
Helene Böhlau;Das ehrbußliche Weiblein;;1897;Deutsch;;;;;Boehlau_Helene_Altweimarische_Liebesgeschichten_Das_ehrbussliche_Weiblein.txt
Helene Böhlau;Im alten Rödchen zu Weimar;;1897;Deutsch;;;;;Boehlau_Helene_Altweimarische_Liebesgeschichten_Im_alten_Roedchen.txt
Helene Böhlau;Ein Sommerbuch;;1910;Deutsch;;;;;Boehlau_Helene_Ein_Sommerbuch.txt
Luise Büchner;Der kleine Vagabund;;1877;Deutsch;;;;;Buechner_Luise_Der_kleine_Vagabund.txt
Luise Büchner;Die Fee von Argouges;;1878;Deutsch;;;;;Buechner_Luise_Die_Fee_von_Argouges.txt
Ada Christen;Als er heimkehrte;;1884;Deutsch;;;;;Christen_Ada_Als_er_heimkehrte.txt
Ada Christen;Der einsame Spatz;;1884;Deutsch;;;;;Christen_Ada_Der_einsame_Spatz.txt
Ada Christen;Käthes Federhut;;1876;Deutsch;;;;;Christen_Ada_Kaethes_Federhut.txt
Ada Christen;Nachbar Krippelmacher;;1884;Deutsch;;;;;Christen_Ada_Nachbar_Krippelmacher.txt
Juliane Déry;Selige Liebe;;1892;Deutsch;;;;;Dery_Juliane_Selige_Liebe.txt
Jenny Dirnböck-Schulz;Aus Mizi's Memoiren;;1895;Deutsch;;;;;Dirnboeck-Schulz_Jenny_Aus_Mizis_Memoiren.txt
Hedwig Dohm;Werde, die Du bist!;;1894;Deutsch;;;;;Dohm_Hedwig_Werde.txt
Ilse Frapan;Altmodische Leute;;1890;Deutsch;;;;;Frapan_Ilse_Altmodische_Leute.txt
Ilse Frapan;»Uns' Ida«;;1890;Deutsch;;;;;Frapan_Ilse_Uns_Ida.txt
Ilse Frapan;Ameise;;1899;Deutsch;;;;;Frapan_Ilse_Was_der_Alltag_dichtet_Ameise.txt
Ilse Frapan;Dort oben;;1899;Deutsch;;;;;Frapan_Ilse_Was_der_Alltag_dichtet_Dort_oben.txt
Agnes Günther;Die Heilige und ihr Narr;;1913;Deutsch;;;;;Guenther_Agnes_Die_Heilige.txt
Agnes Harder;Schlumski;;1916;Deutsch;;;;;Harder_Agnes_Schlumski.txt
Wilhelmine Heimburg;Großmutters Kathrin;;1904;Deutsch;;;;;Heimburg_Wilhelmine_Alte_Liebe_und_anderes_Grossmutters_Kathrin.txt
Wilhelmine Heimburg;Maiblumen;;1904;Deutsch;;;;;Heimburg_Wilhelmine_Alte_Liebe_und_anderes_Maiblumen.txt
Wilhelmine Heimburg;Originale;;1904;Deutsch;;;;;Heimburg_Wilhelmine_Alte_Liebe_und_anderes_Originale.txt
Maria Janitschek;Das kleine Hündchen;;1897;Deutsch;;;;;Janitschek_Maria_Das_kleine_Huendchen.txt
Maria Janitschek;Kind Gottes;;1897;Deutsch;;;;;Janitschek_Maria_Kind_Gottes.txt
Maria Janitschek;Klare Rechnung;;1897;Deutsch;;;;;Janitschek_Maria_Klare_Rechnung.txt
Alma Johanna Koenig;Schibes;;1920;Deutsch;;;;;Koenig_Alma_Johanna_Schibes.txt
Charlotte Niese;Aus dänischer Zeit;;1892-1894;Deutsch;;;;;Niese_Charlotte_Aus_daenischer_Zeit.txt
Charlotte Niese;Der verrückte Flinsheim;;1914;Deutsch;;;;;Niese_Charlotte_Der_verrueckte_Flinsheim.txt
Charlotte Niese;Die falschen Weihnachtsbäume;;1920;Deutsch;;;;;Niese_Charlotte_Die_falschen_Weihnachtsbaeume.txt
Charlotte Niese;Corisande;;1896;Deutsch;;;;;Niese_Charlotte_Geschichten_aus_Corisande_Corisande.txt
Bertha Pappenheim;Im Storchenland;;1916;Deutsch;;;;;Pappenheim_Bertha_Erzaehlungen_Im_Storchenland.txt
Agnes Sapper;Das Mooserl;;1901;Deutsch;;;;;Sapper_Agnes_Das_kleine_Dummerle_Das_Mooserl.txt
Agnes Sapper;Helf, wer helfen kann!;;1901;Deutsch;;;;;Sapper_Agnes_Das_kleine_Dummerle_Helf_wer_helfen_kann.txt
Agnes Sapper;Die Familie Pfäffling;;1907;Deutsch;;;;;Sapper_Agnes_Die_Familie_Pfaeffling.txt
Johanna Spyri;Am Felsensprung;;1886;Deutsch;;;;;Spyri_Johanna_Am_Felsensprung.txt
Johanna Spyri;Aus dem Leben;;1901;Deutsch;;;;;Spyri_Johanna_Aus_dem_Leben.txt
Johanna Spyri;Beim Weiden-Joseph;;1882;Deutsch;;;;;Spyri_Johanna_Beim_Weiden-Joseph.txt
Johanna Spyri;Einer vom Hause Lesa;;1890;Deutsch;;;;;Spyri_Johanna_Einer_vom_Hause_Lesa.txt
Johanna Spyri;Rosenresli;;1882;Deutsch;;;;;Spyri_Johanna_Rosenresli.txt
Johanna Spyri;Und wer nur Gott zum Freunde hat, dem hilft er immer wieder;;1882;Deutsch;;;;;Spyri_Johanna_Und_wer_nur_Gott.txt
Johanna Spyri;Was soll denn aus ihr werden?;;1874;Deutsch;;;;;Spyri_Johanna_Was_soll.txt
Frieda von Bülow;Die stilisierte Frau;;1893;Deutsch;;;;;von_Buelow_Frieda_Die_schoensten_Novellen_Die_stilisierte_Frau.txt
Frieda von Bülow;Sie und Er;;1893;Deutsch;;;;;von_Buelow_Frieda_Die_schoensten_Novellen_Sie_und_Er.txt
Marie von Ebner-Eschenbach;Der gute Mond;;1886;Deutsch;;;;;von_Ebner-Eschenbach_Marie_Der_gute_Mond.txt
Marie von Ebner-Eschenbach;Der Herr Hofrat;;1912;Deutsch;;;;;von_Ebner-Eschenbach_Marie_Der_Herr_Hofrat.txt
