Word,PoS,GermaNet_fields
Leben,nomen,natPhaenomen
scheinen,verben,natPhaenomen
fallen,verben,natPhaenomen
Welt,nomen,natPhaenomen
ziehen,verben,natPhaenomen
Land,nomen,natGegenstand
Licht,nomen,natPhaenomen
Tod,nomen,natPhaenomen
Erde,nomen,natGegenstand
Pferd,nomen,Tier
Arbeit,nomen,natPhaenomen
Grund,nomen,natGegenstand
Boden,nomen,natGegenstand
spielen,verben,natPhaenomen
Zug,nomen,natPhaenomen
Ton,nomen,natPhaenomen natGegenstand
Kraft,nomen,natPhaenomen
Luft,nomen,natPhaenomen
Sonne,nomen,natPhaenomen
Baum,nomen,Pflanze
Natur,nomen,natGegenstand
klar,adj,natPhaenomen
Feuer,nomen,natPhaenomen
Wand,nomen,natGegenstand
Hund,nomen,Tier
frisch,adj,natPhaenomen
Wein,nomen,Pflanze
Stein,nomen,natGegenstand Pflanze
Schicksal,nomen,natPhaenomen
Tier,nomen,Tier
Schatten,nomen,natPhaenomen
Wind,nomen,natPhaenomen
sinken,verben,natPhaenomen
Blatt,nomen,Pflanze
Hut,nomen,Pflanze
Blume,nomen,Pflanze
Soldat,nomen,Tier
brennen,verben,natPhaenomen
streng,adj,natPhaenomen
Schlag,nomen,natPhaenomen
heiter,adj,natPhaenomen
leuchten,verben,natPhaenomen
Lager,nomen,natGegenstand
Vogel,nomen,Tier
Sturm,nomen,natPhaenomen
Wolke,nomen,natPhaenomen
Schein,nomen,natPhaenomen
Schnee,nomen,natPhaenomen
Tiefe,nomen,natPhaenomen
Flamme,nomen,natPhaenomen
Strom,nomen,natPhaenomen
Wetter,nomen,natPhaenomen
mild,adj,natPhaenomen
Stamm,nomen,Pflanze
Moment,nomen,natPhaenomen
Rose,nomen,Pflanze
Holz,nomen,natGegenstand
Ei,nomen,Tier
Regen,nomen,natPhaenomen
Mark,nomen,Pflanze
wehen,verben,natPhaenomen
Nebel,nomen,natPhaenomen
Zufall,nomen,natPhaenomen
trocken,adj,natPhaenomen
Gras,nomen,Pflanze
Felsen,nomen,natGegenstand
versinken,verben,natPhaenomen
Fahrt,nomen,natPhaenomen
Welle,nomen,natPhaenomen
Stock,nomen,Pflanze
rollen,verben,natPhaenomen
Blitz,nomen,natPhaenomen
glänzen,verben,natPhaenomen
Zweig,nomen,Pflanze
Kaffee,nomen,Pflanze
Geräusch,nomen,natPhaenomen
